,index,precision,recall,f1-score,support
1,USAD_SNO,1.0,0.94,0.9690721649484536,50.0
2,USAD_SPR,0.0,0.0,0.0,3.0
3,USAD_SNM,0.9387755102040817,0.92,0.9292929292929293,50.0
4,USAD_SFX,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
5,USAD_CTY,1.0,0.92,0.9583333333333334,50.0
6,USAD_STA,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
7,USAD_ZIP,1.0,0.98,0.98989898989899,50.0
8,accuracy,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394
9,macro avg,0.7291576204950065,0.7118934240362811,0.7201214828630065,297.0
10,weighted avg,0.9633299268557628,0.9393939393939394,0.9508252130134333,297.0
